Country,Australia,Austria,Belgium,Canada,Chile,Colombia,Costa Rica,Czechia,Denmark,Estonia,France,Greece,Hungary,Iceland,Ireland,Italy,Japan,Latvia,Lithuania,Luxembourg,Mexico,The Netherlands,New Zealand,Norway,Poland,Portugal,Spain,Sweden,Switzerland,United Kingdom,United States,,Finland,Israel,South Korea,Slovak Republic,Slovenia,Turkey,Germany
2.1.1 How separate portals organised,,"Ministries, but not all",Federal system/ ministries,Ministries,,,,Ministries (only exist for Ministry of Foreign Affairs and Ministry of Finance),Ministries,n/a,,n/a,n/a,Part of the Ministry of Foreign Affairs Website,,,,n/a,,only in the Directorate for Development Cooperation and Humanitarian Affairs,,,,,n/a,n/a,n/a,n/a,n/a,n/a,Each department responsible for own evaluations,,Each department publishes its own evaluations,in the publication database in gov.il,n/a,,n/a,,Yes
2.2 Independent website,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,no,no,No,no,yes ,yes,no,yes,no,no,Yes,No,no,No,Yes,No,No,No,No,Yes,,No,no,Yes,No,No,no,"Yes (note, DEval is mandated by the German Federal Ministry for Economic Cooperation and Development (BMZ))"
2.3 Search function,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,no,no,No,no,no,yes,no,yes,yes,yes,Yes,Yes,yes,Yes,Yes,No,Yes,Yes,Yes,No,,Yes,Yes ,Yes,No,No,Yes,Yes
2.4 Policy area categorisation,Yes,No ,No,Yes,Yes,Yes,No,No,No,No,Yes,no,no,No,yes,yes,yes,no,yes,no,no,Yes,No,yes,Yes,Yes,No,Yes,Yes,Yes,Yes,,No,Yes ,Yes,No,No,Yes,Yes
2.5 Summary available ,Yes,"Yes
",Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,no,no,Yes,no ,no ,no,no,yes,no,yes,No,No,yes,Yes,Yes,No,Yes,Yes,Yes - A.I generated,No,,Yes,no,Yes,Yes,No,no,Yes
2.6 Accessibility tools,Yes,No,No,Yes,No,no,No,No,No,No,No,No,No,No,no,no,yes,no,yes,yes,yes,Yes,No,no,No,No,No,Partial,No,Yes,No,,No,No,No,No,No,yes,Yes
2.6.1 What are the accessibility tools ,"There is an ""Easy English/ Eassy Read"" Filter in the collection browzing page",,,"Large print, braille, MP3 (audio), e-text and DAISY formats are available for most reports, but you need to request them",,,,,,n/a,,n/a,n/a,,,,voiceover -- but not working; language options,n/a,font size; high contrast; B&W mode;  diable photos,English option,"translation options, voiceover", It has an accesibility link and statement proving that it passes regulatory requirements,,,n/a,n/a,n/a,Recent reports available in both HTML and accessible PDF form,n/a,"change colours, contrast levels and fonts
zoom in up to 400% without the text spilling off the screen
navigate most of the website using just a keyboard
navigate most of the website using speech recognition software
listen to most of the website using a screen reader (including the most recent versions of JAWS, NVDA and VoiceOver)",n/a,,n/a,,n/a,n/a,n/a,reading assitancce functions,Filter available for accessible evaluations
2.7 Visual presentation,No,No,No ,No,No,Yes,No,No,No,No,No,no,no,No,no,no,yes,no,yes,no,yes,Yes,No,yes,No,Yes,No,Yes,No,No,No,,No,No,No,No,no,no,No
2.7.1 What kind of visual presentation,,,One report includes a video,,,,,,,,,n/a,n/a,,,,diagrams,,images,,"photos, diagrams to explain processes", On the portal explanation and toolbox pages,,images,,,,,,,,,,,,,n/a,,
2.9 Visually appealing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,n/a,Yes,n/a,n/a,Yes,yes,no,no,n/a,yes,yes,yes,Yes,Yes,yes,Yes,Yes,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,n/a,yes,Yes
